CATEGORIAS,SEGMENTO,SUBSEGMENTO,Clasificacion
CREMITAS,Cuidado Complementarios Baby,Cuidado,Cremitas
CUPONES,Cupones Otros,cadena,Cupones Otros
CUPONES,Cupones Pa?itos,cadena,Cupones Pañitos
CUPONES,Cupones pa?ales,cadena,Cupones pañales
CUPONES,cupones,cadena,Cupon cadena 
OTROS,Bebe ,Jabon Bebe ,Liquidos
OTROS,Cuidado Complementarios Baby,Desechables,Liquidos
OTROS,Cuidado Liquidos Baby,Cuidado,Liquidos
OTROS,OTROS,OTROS,Otros
OTROS,Recien Nacido,Jabon Recien Nacido,Liquidos
OTROS,Recien Nacido,Shampoo Recien Nacido,Liquidos
PA?ALES,Extraconfort H&L,Etapa 1,Pañales
PA?ALES,Extraconfort H&L,Etapa 2,Pañales
PA?ALES,Extraconfort H&L,Etapa 3,Pañales
PA?ALES,Extraconfort H&L,Etapa 4,Pañales
PA?ALES,Extraconfort H&L,Etapa 5,Pañales
PA?ALES,Panal Pants Baby ,Etapa 3,Pañales
PA?ALES,Panal Pants Baby ,Etapa 4,Pañales
PA?ALES,Panal Pants Baby ,Etapa 5,Pañales
PA?ALES,Premium,Etapa 0,Pañales
PA?ALES,Premium,Etapa 1,Pañales
PA?ALES,Premium,Etapa 2,Pañales
PA?ALES,Premium,Etapa 3,Pañales
PA?ALES,Premium,Etapa 4,Pañales
PA?ALES,Premium,Etapa 5,Pañales
PA?ITOS,Otros Usos,Naricitas,Pañitos
PA?ITOS,Premium Panos Humedos Baby,Cuidado Natural,Pañitos
PA?ITOS,Premium Panos Humedos Baby,Recien Nacido,Pañitos
PA?ITOS,Premium Panos Humedos Baby,Toallita Acolchadas,Pañitos
PA?ITOS,Value Panos Humedos Baby,Almendra ,Pañitos
PA?ITOS,Value Panos Humedos Baby,Aloe,Pañitos
PA?ITOS,Value Panos Humedos Baby,Avena,Pañitos
PA?ITOS,Value Panos Humedos Baby,Manzanilla,Pañitos
PA?ITOS,Value Panos Humedos Baby,Original,Pañitos
