Month,Sessions,Users,Pageviews,Avg. sessions per user,Avg. session length (min),Bounce rate,New users,Avg. time on page,Usuarios recurrentes,Year,Mes
2018-01-01,207064,135768,994108,"1,53","4,35","46,97",113545,"68,4",22223,2018,01
2018-02-01,222945,146334,1034703,"1,52","4,1","47,17",120426,"67,48",25908,2018,02
2018-03-01,265366,177909,1130843,"1,49","3,78","52,49",148915,"69,32",28994,2018,03
2018-04-01,251030,173795,1028793,"1,44","3,77","53,39",142268,"72,89",31527,2018,04
2018-05-01,265821,179511,1036313,"1,48","3,57","52,35",146123,"73,85",33388,2018,05
2018-06-01,203977,137560,856271,"1,48","4,04","50,27",109422,"75,64",28138,2018,06
2018-07-01,189458,126834,868852,"1,49","4,35","47,84",102234,"72,55",24600,2018,07
2018-08-01,185561,122175,879543,"1,52","4,58","43,82",99211,"73,23",22964,2018,08
2018-09-01,232558,150772,926593,"1,54","3,83","50,3",125955,"73,24",24817,2018,09
2018-10-01,254218,161313,1109850,"1,58","4,51","46,64",129431,"79,52",31882,2018,10
2018-11-01,148092,87235,868887,"1,7","5,78",36,63549,"71,01",23686,2018,11
2018-12-01,216023,136940,761236,"1,58","3,63","48,91",111516,"83,27",25424,2018,12
2019-01-01,241066,149900,1091846,"1,61","4,22","47,04",123521,"71,45",26379,2019,01
2019-02-01,286968,178644,1185607,"1,61","3,76","46,49",146981,"71,26",31663,2019,02
2019-03-01,280945,169049,1418455,"1,66","3,54","38,23",137926,"52,07",31123,2019,03
2019-04-01,247503,157491,1281268,"1,57","3,99","48,52",129233,"57,11",28258,2019,04
2019-05-01,278262,161877,1604203,"1,72","4,45","44,74",126568,"55,75",35309,2019,05
2019-06-01,240080,144391,1295971,"1,66","4,2","44,39",113648,"57,16",30743,2019,06
2019-07-01,298421,181060,1516963,"1,65","3,94","46,88",145598,"57,69",35462,2019,07
2019-08-01,341084,202138,1573936,"1,69","3,8","47,26",164265,"62,65",37873,2019,08
2019-09-01,253311,144720,1249959,"1,75","4,6","35,23",108961,"69,25",35759,2019,09
2019-10-01,165043,98598,828660,"1,67","4,66","35,94",73310,"68,86",25288,2019,10
